Metadata	Df	SumOfSqs	R2	F	Pr(>F)	value
seq_len_avg	1	101.669117130469	0.0264033314006676	4.71877097926967	0.001	**
Site_code	7	436.156009642929	0.11326912232568	3.06570914724729	0.001	***
Time_period	2	114.774128464646	0.0298066850151359	2.65748922138111	0.005	**
No_reads_total	1	48.7380934965991	0.0126572165741938	2.23058874844372	0.056	*
Anginosus	1	18.2013384349621	0.00475740539493027	0.822185201858743	0.522	ns
Sanguinis	1	17.6129989570436	0.00460362717602065	0.795486000679844	0.559	ns
gc_avg	1	13.4358516976272	0.00348927240675682	0.609259275724107	0.777	ns
