Sample	Passed
CMB008.A0101	FALSE
MID022.A0101	FALSE
MID030.A0101	FALSE
MID034.A0101	FALSE
MID040.A0101	FALSE
MID046.A0101	FALSE
MID053.A0101	FALSE
MID058.A0101	FALSE
MID063.A0101	FALSE
MID064.A0101	FALSE
MID088.A0101	FALSE
