# Constructed from biom file
#OTU ID	MID067.A0101	EXB059.A2501	MID089.A0101	MID101.A0101	LIB058.A0103	MID077.A0101	MID088.A0101	MID027.A0101	MID066.A0101	MID094.A0101	MID083.A0101	MID072.A0101	MID022.A0101	CMB004.A0101	MID061.A0101	MID050.A0101	MID044.A0101	MID049.A0101	MID038.A0101	MID055.A0101	MID071.A0101	MID093.A0101	MID032.A0101	CMB002.A0101	MID029.A0101	MID024.A0101	MID102.A0101	MID085.A0101	MID041.A0101	MID046.A0101	MID063.A0101	EXB059.A2201	MID080.A0101	MID084.A0101	CMB003.A0101	MID062.A0101	MID023.A0101	MID040.A0101	MID045.A0101	MID059.A0101	LIB058.A0104	MID037.A0101	CMB008.A0101	EXB034.A2701	MID028.A0101	MID054.A0101	MID068.B0101	MID075.A0101	MID086.A0101	MID097.A0101	MID042.A0101	MID053.A0101	MID064.A0101	MID031.A0101	MID058.A0101	MID047.A0101	MID036.A0101	CMB001.A0101	CMB006.A0101	CMB007.A0101	EXB059.A2301	MID070.A0101	LIB058.A0107	MID092.A0101	LIB058.A0105	MID081.A0101	MID079.A0101	MID082.A0101	MID043.A0101	CMB005.A0101	EXB059.A2101	EXB059.A2401	MID074.A0101	MID026.A0101	MID035.A0101	MID030.A0101	MID057.A0101	LIB058.A0102	MID090.A0101	MID073.A0101	MID048.A0101	MID034.A0101	MID051.A0101	MID091.A0101	MID039.A0101	MID060.A0101	LIB058.A0106	MID087.A0101	CS01	CS02	CS03	CS04	CS07	CS08	CS09	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17	CS18	CS19	CS20	CS21	CS22	CS23	CS24	CS26	CS27	CS28	CS29	CS30	CS31	CS32	CS33	CS34	CS35	CS36	CS37	CS38	CS39	CS40	CS42	CS43	CS44	CS45	CS46	CS47	CS48	CSL	CSN	KT01calc	KT02calc	KT03calc	KT04calc	KT05calc	KT06calc	KT07calc	KT08calc	KT09calc	KT10calc	KT11calc	KT12calc	KT13calc	KT14calc	KT15calc	KT16calc	KT17calc	KT18calc	KT19calc	KT20calc	KT21calc	KT22calc	KT23calc	KT24calc	KT25calc	KT26calc	KT27calc	KT28calc	KT29calc	KT30calc	KT31calc	KT32calc	KT33calc	KT34calc	KT35calc	KT36calc	ELR003.A0101	ELR004.A0101	ELR006.A0101	ELR008.A0101	ELR010.A0101	IVE002.B0101	IVE003.A0101	IVE005.A0101	IVE005.B0101	IVE007.B0101	LIB007.A0125	LIB007.A0130	LIB007.A0131	EXB015.A3001	EXB015.A3301	EXB015.A3401	ERR1883430_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	JAE016.A0101	ERR1883436_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR062083	VLC001.A0101	JAE008.A0101	ERR1883419_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	ERR1883422_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	JAE013.A0101	SRR1631060	JAE010.A0101	SRR1631061	SRR1930121	SRR1761718	SRR513165	SRR1930123	SRR061562	SRR514306	VLC004.A0101	ARS015.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR1761682	SRR1761721	SRR059425	SRR1761688	SRR060358	ARS020.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	ERR1883418_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR514329	SRR1761677	VLC009.A0101	ERR1883423_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR1929408	SRR1761710	ERR1883421_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR1930145	SRR063517	ARS017.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR514202	VLC005.A0101	ARS005.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR3184100	SRR1804664	ERR1883420_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR1631063	SRR1804823	ARS004.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR061365	SRR061320	SRR3189411	ARS010.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR1633008	ARS011.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	SRR1761705	ERR1883424_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	SRR514239	SRR513828	SRR059455	SRR1930141	VLC002.A0101	SRR059917	SRR1631064	SRR3189416	SRR1761692	JAE012.A0101	JAE009.A0101	SRR059389	SRR3184876	SRR3189418	SRR512767	VLC010.A0101	SRR061294	ARS001.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	ERR1883438_S0_L001_R1_000.fastq.merged.prefixed.hg19unmapped	VLC008.A0101	ARS012.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	JAE014.A0101	SRR1761697	SRR513775	VLC003.A0101	SRR513768	ARS013.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam	JAE006.A0101	SRR062299	SRR062298	SRR1761698	JAE015.A0101	SRR061192	JAE007.A0101
Rothia aeria	6796	2903	631	4955	692	96774	0	181935	0	17633	133110	0	769	0	228676	2907	1368	664	139421	3830	0	0	2145	2482	23254	0	31350	52875	0	0	0	1747	8019	0	0	867	95573	0	1385	0	246	20043	0	0	22656	0	755	0	3436	0	13021	0	0	0	0	974	50300	0	5213	0	886	2118	0	0	0	0	11502	1043	33683	2155	224	967	964	1342	8615	0	13337	0	54400	5330	9577	0	0	2066	16718	0	399	3139	4939	0	0	0	20709	122133	917	147315	0	572	99721	687	6279	17810	906	4709	26627	0	1732	8242	108355	7566	300	0	0	47001	4767	0	2114	4553	145943	0	0	0	0	0	0	40545	0	1083	118385	694	4596	224	0	0	19674	0	1333	808	510	0	262	127270	0	0	4342	0	464	565	1235	1413	0	1019	64348	529	0	43097	61967	1304	908	6340	302	0	1875	463	60505	824	29187	0	714	0	0	10736	0	1506	0	46348	40541	640	46885	1742	0	0	0	0	0	0	0	59624	0	1249461	318636	1024644	0	0	502469	5112	2240143	5249	0	0	79139	0	73808	93474	997589	0	0	0	0	0	0	0	0	166554	0	155676	0	0	0	0	0	1229929	0	65224	528754	0	30856	608372	0	5939	409351	0	878839	1834599	18335	0	3333	0	0	0	151361	42128	0	0	97428	0	5761	16840	0	6004	777820	0	7754	15477	57484	430107	56496	0	0	351998	0	243369	0	104270	33229	113565	0	3136385	11685	0	0	0	122632	195170
Rothia dentocariosa	0	96	0	0	0	4927	0	7819	0	0	4540	0	0	0	5905	0	0	0	2521	0	0	0	0	0	732	0	2485	796	0	0	0	136	0	0	509	637	4849	0	0	0	0	2414	0	0	9357	0	0	0	0	0	0	0	0	0	0	0	2290	0	0	0	0	0	0	0	0	0	0	506	19049	0	0	0	0	0	0	0	0	0	4198	919	0	0	0	0	594	0	0	3641	0	0	0	0	0	4890	0	3144	0	0	3074	0	0	800	0	0	2718	0	0	0	3064	0	0	0	0	3788	0	0	0	0	2644	0	0	0	0	0	0	996	0	0	20309	0	0	37	0	0	0	504	0	0	0	0	0	8512	0	0	0	0	0	0	0	0	0	0	2310	0	0	1359	1419	0	0	0	0	0	0	0	3618	0	618	0	0	0	0	0	0	0	0	918	1121	0	0	0	0	0	0	0	0	0	0	10800	0	100504	129567	31620	0	0	28786	4086	349344	4015	0	0	56553	0	42371	104911	28980	0	0	0	0	0	0	0	0	21111	0	16459	0	0	0	0	0	130833	0	289376	31717	0	9624	77929	0	4632	280245	0	468844	308421	3324	0	0	0	0	0	37932	111964	0	0	1932	0	4477	2828	0	141507	43295	0	0	2709	1036453	21881	21496	0	0	22742	0	6189	0	116930	0	103211	0	53099	822	5062	0	0	40532	59338
Rothia kristinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia mucilaginosa	0	116	0	0	0	0	0	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0	1892	0	0	0	0	0	0	0	0	0	474	0	3516	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4218	0	4305	0	0	0	0	3216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4080	0	0	0	0	0	0	0	0	4968	0	0	4846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4860	0	0	0	4984	0	3881	0	0	0	0	0	0	0	0	6990	0	0	0	0	0	0	0	1254	0	0	0	0
Rothia sp. HMSC036D11	0	0	0	0	0	1392	0	1780	0	0	1189	0	0	0	1663	0	0	0	957	0	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0	973	0	0	0	0	677	0	0	2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4033	0	0	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	0	0	943	0	0	0	0	0	1123	0	0	0	0	0	0	0	0	0	0	740	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	0	0	0	0	0	0	5432	0	0	0	0	0	0	0	0	0	0	0	0	1947	0	0	0	0	0	0	0	0	0	0	586	0	0	351	389	0	0	0	0	0	0	0	856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19285	0	27221	93984	8557	0	0	9787	1798	181321	1914	0	0	10639	0	13898	32388	8680	0	0	0	0	0	0	0	0	10878	0	15400	0	0	0	0	0	52257	0	130966	8893	0	2812	21223	0	2054	166824	0	216763	31885	0	0	0	0	0	0	7918	38195	0	0	0	0	2152	0	0	25174	9854	0	0	0	1443590	6934	7284	0	0	9746	0	0	0	46658	0	38036	0	11428	0	1193	0	0	18000	9991
Rothia sp. HMSC058E10	0	0	0	0	0	1177	0	1162	0	0	1162	0	0	0	1057	0	0	0	465	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0	0	0	745	0	0	0	0	646	0	0	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4351	0	0	0	0	0	0	0	0	0	939	0	0	0	0	0	0	0	0	1130	0	0	0	0	0	951	0	0	0	0	0	0	0	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4742	0	0	0	0	0	0	0	0	0	0	0	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16131	22086	5161	0	0	5167	0	56413	0	0	0	4950	0	6400	14858	6049	0	0	0	0	0	0	0	0	3554	0	3147	0	0	0	0	0	22774	0	50207	6502	0	0	11505	0	0	40342	0	70965	17543	0	0	0	0	0	0	3674	15773	0	0	0	0	0	0	0	57449	15006	0	0	0	149953	3297	3950	0	0	5581	0	0	0	18272	0	18355	0	8082	0	1675	0	0	3439	7566
Rothia sp. HMSC061E04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia sp. HMSC064D08	0	0	0	0	0	1366	0	2587	0	0	1533	0	0	0	2562	0	0	0	1095	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	1584	0	0	0	0	0	0	0	2293	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	3757	0	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0	0	0	823	0	0	0	0	0	1699	0	1309	0	0	1230	0	0	0	0	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0	1033	0	0	0	0	0	0	322	0	0	4528	0	0	0	0	0	0	0	0	0	0	0	0	2885	0	0	0	0	0	0	0	0	0	0	907	0	0	516	600	0	0	0	0	0	0	0	1155	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	32962	52560	10862	0	0	7968	1630	152508	1588	0	0	11553	0	13485	36438	11901	0	0	0	0	0	0	0	0	8655	0	5665	0	0	0	0	0	55017	0	107865	6161	0	2642	23560	0	1765	98776	0	158972	43172	0	0	0	0	0	0	6097	42872	0	0	0	0	1750	0	0	23617	10227	0	0	0	336019	5697	8079	0	0	6002	0	0	0	50441	0	37882	0	16961	0	0	0	0	7509	17582
Rothia sp. HMSC065D02	0	0	0	0	0	1184	0	1065	0	0	963	0	0	0	974	0	0	0	449	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	670	0	0	0	0	0	0	0	1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4017	0	0	0	0	0	0	0	0	0	921	0	0	0	0	0	0	0	0	1036	0	0	0	0	0	858	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4531	0	0	0	0	0	0	0	0	0	0	0	0	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14797	23215	5012	0	0	5089	0	60487	0	0	0	5322	0	6280	15519	5756	0	0	0	0	0	0	0	0	3486	0	3050	0	0	0	0	0	22419	0	91753	5868	0	0	11900	0	0	45527	0	75639	22551	0	0	0	0	0	0	3523	18303	0	0	0	0	0	0	0	37377	10480	0	0	0	198411	3404	4188	0	0	4817	0	0	0	21703	0	16804	0	9942	0	1210	0	0	4118	7923
Rothia sp. HMSC065G12	0	0	0	0	0	971	0	877	0	0	862	0	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0	1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3133	0	0	0	0	0	0	0	0	0	853	0	0	0	0	0	0	0	0	724	0	0	0	0	0	663	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3785	0	0	0	0	0	0	0	0	0	0	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11052	18936	0	0	0	6331	0	46736	0	0	0	3365	0	4491	11216	5170	0	0	0	0	0	0	0	0	2614	0	0	0	0	0	0	0	19085	0	38367	6370	0	0	9134	0	0	34902	0	60852	14729	0	0	0	0	0	0	2438	14406	0	0	0	0	0	0	0	26577	9055	0	0	0	138223	2661	2890	0	0	7664	0	0	0	17834	0	12299	0	0	0	1880	0	0	2611	6062
Rothia sp. HMSC067H10	0	0	0	0	0	1680	0	3182	0	788	1628	0	0	0	3222	0	0	0	1222	0	0	0	0	0	0	0	982	0	0	0	0	40	0	0	0	0	2395	0	0	0	0	1009	0	0	4993	0	0	0	0	0	0	0	0	0	0	0	1021	0	0	0	0	0	0	0	0	0	0	0	5613	0	0	0	0	0	0	0	0	0	1645	0	0	0	0	0	0	0	0	1343	0	0	0	0	0	3348	0	1619	0	0	1457	0	0	0	0	0	1137	0	0	0	1824	0	0	0	0	3244	345	0	0	0	1303	0	0	0	0	0	0	532	0	0	7035	0	0	0	0	0	0	206	0	0	0	0	0	3496	0	0	0	0	0	0	0	0	0	0	999	0	0	524	521	0	0	0	0	0	0	0	1410	0	0	0	0	0	367	559	0	0	0	0	1845	0	0	1180	0	0	0	0	0	0	0	0	0	31793	38082	11639	0	0	9045	2050	80354	2142	0	0	13871	0	11272	27349	13508	0	0	0	0	0	0	0	0	5189	0	5328	0	0	0	0	0	39918	0	72651	6005	0	3211	22596	0	2445	79579	0	123453	49003	3116	0	0	0	0	0	7932	44375	0	0	0	0	2372	2789	0	32500	13109	0	0	2586	221186	6315	12025	0	0	7125	0	0	0	48882	0	28078	0	25944	0	0	0	0	6388	37179
Rothia sp. HMSC069C01	0	0	0	0	0	1673	0	1831	0	0	1245	0	0	0	1928	0	0	0	683	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	1332	0	0	0	0	652	0	0	3048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4870	0	0	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	962	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	0	0	0	0	0	0	5892	0	0	0	0	0	0	0	0	0	0	0	0	1989	0	0	0	0	0	0	0	0	0	0	605	0	0	306	0	0	0	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25988	37730	6822	0	0	7827	1521	63151	1551	0	0	10088	0	16324	26563	7406	0	0	0	0	0	0	0	0	4526	0	4418	0	0	0	0	0	41191	0	66908	4984	0	2739	18084	0	1756	66230	0	154860	36144	1473	0	0	0	0	0	6351	34144	0	0	0	0	1732	1346	0	21148	9587	0	0	0	215582	4205	10894	0	0	4356	0	0	0	40192	0	26088	0	11873	0	0	0	0	5659	14678
Rothia sp. HMSC069C03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7999	0	0	0	0	0	0	0	0	0	0	0	0	0	3769	0	0	0	0	0	4481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia sp. HMSC071F11	0	0	0	0	0	821	0	1872	0	0	693	0	0	0	1283	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1045	0	0	0	0	0	0	0	1499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2448	0	0	0	0	0	0	0	0	0	855	0	0	0	0	0	0	0	0	575	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	3232	0	0	0	0	0	0	0	0	0	0	0	0	1858	0	0	0	0	0	0	0	0	0	0	585	0	0	298	0	0	0	0	0	0	0	0	779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18485	27161	6023	0	0	5774	0	73443	0	0	0	7099	0	8048	18136	6647	0	0	0	0	0	0	0	0	5012	0	3172	0	0	0	0	0	27043	0	49150	4320	0	0	16564	0	0	54840	0	86352	31871	0	0	0	0	0	0	4732	21646	0	0	0	0	0	0	0	16743	6247	0	0	0	198495	4248	4601	0	0	3357	0	0	0	23896	0	19200	0	11066	0	0	0	0	5191	12568
Rothia sp. HMSC08A08	0	0	0	0	0	873	0	886	0	0	1054	0	0	0	1004	0	0	0	0	0	0	0	0	0	0	0	1393	0	0	0	0	0	0	0	0	0	579	0	0	0	0	0	0	0	1604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3485	0	0	0	0	0	0	0	0	0	805	0	0	0	0	0	0	0	0	635	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3730	0	0	0	0	0	0	0	0	0	0	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10439	14603	0	0	0	4688	0	44820	0	0	0	3389	0	3876	10178	4444	0	0	0	0	0	0	0	0	2950	0	0	0	0	0	0	0	15946	0	33334	12204	0	0	7471	0	0	31618	0	59271	18772	0	0	0	0	0	0	2783	11453	0	0	0	0	0	0	0	27500	11042	0	0	0	134347	2446	3214	0	0	8559	0	0	0	14199	0	11773	0	0	0	1599	0	0	2481	6223
Ruminococcaceae bacterium	0	0	0	0	0	0	0	0	0	0	0	581	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	849	0	531	0	0	0	0	0	0	0	0	0	522	0	460	360	0	0	1038	0	0	0	405	0	2185	0	366	0	8535	0	491	0	0	0	0	0	0	0	0	222	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	221	277	0	0	0	0	341	0	0	0	0	0	0	0	0	283	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	1470	0	1489	961178	84317	0	531677	0	0	0	0	44619	118800	177544	96368	104225	0	326	0	262792	0	0	434750	106707	117	264970	0	0	0	0	0	0	0	196	1557	0	0	0	0	0	0	0	0	45157	0	0	0	158893	627217	0	150314	1585	0	26711	0	0	0	3028	0	0	0	0	0	0	0	0	0	824005	0	0	0	0	0	0	0	291791	0	0	0
Ruminococcaceae bacterium CPB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcaceae bacterium D16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	0	0	0	1779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	19384	6409	0	13417	0	0	0	0	85421	6929	2697	4937	0	0	308	0	6865	0	0	9894	6875	0	5546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127	0	0	0	28517	11874	0	17441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22072	0	0	0	0	0	0	0	14115	0	0	0
