Taxon	PC2
Bacteroidetes oral taxon 274	0.195967308146538
Tannerella forsythia	0.194456554864105
Fretibacterium fastidiosum	0.167109568542498
Pseudopropionibacterium propionicum	0.16395587866467
Eubacterium saphenum	0.159569025357411
Eubacterium minutum	0.158639981157061
Actinomyces sp oral taxon 414	0.152336552076598
Ottowia sp oral taxon 894	0.14179283825149
Treponema socranskii	0.134247917238553
Desulfobulbus oralis	0.131453763544005
Methanobrevibacter oralis	-0.742143146091689
Neisseria mucosa	-0.122461057979253
Gemella bergeri	-0.076743800613228
Streptococcus oralis	-0.0722928249879469
Rothia dentocariosa	-0.0713733845457066
Eubacterium nodatum	-0.0601528636589266
Streptococcus sanguinis	-0.0364943848989591
Actinomyces oris	-0.0340873346275134
Olsenella uli	-0.0337556077405826
Pyramidobacter piscolens	-0.0329564717406487
