Sample	Passed
CMB001.A0101	FALSE
CS02	FALSE
CS28	FALSE
ELR010.A0101	FALSE
KT09calc	FALSE
KT28calc	FALSE
MID046.A0101	FALSE
MID063.A0101	FALSE
MID075.A0101	FALSE
MID092.A0101	FALSE
