Library_ID	Observed_species	Shannon_index	Pileou_evenness
CMB002.A0101	76	3.24591622738203	0.747251755580907
CMB003.A0101	37	2.44923623295246	0.6782863228145
CMB004.A0101	33	2.43005725927175	0.694995568164181
CMB005.A0101	74	3.08581513911634	0.716953640870496
CMB006.A0101	85	2.93093473073756	0.6597264924758
CMB007.A0101	41	2.25568946051608	0.607417715342182
CMB008.A0101	36	2.31401628856508	0.645738540330426
CS01	93	3.53222891672688	0.779294292836264
CS03	37	1.02078338006393	0.282693598901679
CS04	74	3.12756642791371	0.726654072414455
CS07	82	3.62350664668175	0.820012978130153
CS08	97	3.76129496446877	0.820353684506259
CS09	68	2.93065074940182	0.694548026492941
CS10	101	3.70958944510095	0.802078108317941
CS11	56	2.85790643687917	0.709976830957901
CS12	69	2.56801963734443	0.604453928046696
CS13	102	3.7852354767631	0.816711286976237
CS14	30	2.61250469665621	0.768113227048143
CS15	106	3.2378060757161	0.69290063694125
CS16	95	3.12078526680337	0.683730761960069
CS17	67	2.77667095235169	0.658055665817491
CS18	46	2.75470059821556	0.715479218768664
CS19	100	3.57056568921452	0.773666836258121
CS20	54	1.40855361578787	0.35311086716455
CS21	63	2.58259712319344	0.623343746642474
CS22	105	3.27463229478574	0.702192572627399
CS23	84	3.67112075226959	0.826335568632898
CS24	77	3.73697120528192	0.857750966139601
CS26	41	2.86536810567929	0.771593510025033
CS27	24	2.33553033525016	0.734893258555804
CS29	74	2.92728338753663	0.678006125450334
CS30	60	3.18361029077717	0.777562865654215
CS31	83	2.31455838992946	0.52237736178433
CS32	62	2.83429027210656	0.684093194955088
CS33	77	3.32927762415398	0.764172625849707
CS34	97	3.45369757292414	0.753265446045334
CS35	39	2.60625122467621	0.711398217477675
CS36	31	2.70069436752087	0.786460230251727
CS37	40	1.58472808573129	0.429596061742804
CS39	57	1.55434268716393	0.384447929099953
CS40	33	2.44378900760189	0.698922843620832
CS42	70	2.54574362488049	0.597216703649692
CS43	32	1.29656818679655	0.374110498653155
CS44	93	3.65719373823778	0.804965099889581
CS45	75	3.31718622395028	0.765964090444544
CS46	82	3.56693912355765	0.807211538081764
CS47	97	3.32462376759851	0.725113925685356
CS48	26	2.74582609465967	0.842770023115123
ELR004.A0101	74	3.41046411464264	0.78991858806746
ELR006.A0101	70	2.79547872832851	0.657992670124786
ELR008.A0101	63	2.97877844445369	0.716244814953379
IVE002.B0101	91	3.39245699920378	0.750246709105919
IVE003.A0101	70	3.28533550316997	0.770720672895167
IVE005.A0101	61	3.18619446218645	0.77201131945977
IVE005.B0101	68	3.43749886589249	0.811859329036754
IVE007.B0101	68	2.96915569266518	0.701247285452401
JAE006.A0101	56	2.60017319334088	0.643121499355493
JAE007.A0101	58	2.68232929812446	0.657830696842149
JAE008.A0101	114	3.46686458783132	0.730645769853656
JAE009.A0101	119	3.45459853584586	0.721588406090571
JAE010.A0101	105	3.36285825658533	0.721111220436263
JAE012.A0101	99	3.01376982347182	0.654431802030174
JAE013.A0101	103	3.05424329322804	0.65761977394984
JAE014.A0101	117	3.66144719540542	0.767488837268406
JAE015.A0101	93	3.12768521144875	0.688417846813373
JAE016.A0101	96	3.05534138473613	0.669392705501192
KT01calc	116	3.87001949327432	0.812658157022707
KT02calc	36	2.4545179827502	0.684946284617009
KT03calc	60	3.03640503867815	0.741609552526332
KT04calc	58	3.09091271915935	0.758034171771744
KT05calc	37	2.69734198952279	0.746996208381696
KT06calc	33	2.52961301622936	0.723468481552033
KT07calc	69	3.10977127165391	0.731970049271808
KT08calc	82	3.37519797625284	0.763819806104262
KT10calc	35	2.55801302485806	0.71948315062758
KT11calc	62	3.01370922340537	0.730218340920935
KT12calc	35	2.71740627683097	0.764315119035797
KT13calc	44	2.56974025475478	0.67907280114131
KT14calc	62	2.8895310398018	0.700130107289983
KT15calc	54	2.77305078342868	0.695177205789308
KT16calc	56	3.13857620056595	0.776288993794274
KT17calc	35	2.47532614666264	0.696226108907513
KT18calc	62	2.78212564550772	0.674105901564271
KT19calc	111	3.59789925555539	0.762509296641596
KT20calc	59	2.89796006958841	0.710713294348701
KT21calc	40	2.77412979143169	0.752025059625603
KT22calc	76	3.68424112945366	0.84815979806974
KT23calc	75	3.08010147138147	0.711219377727336
KT24calc	70	2.90641268087124	0.684104021608663
KT25calc	61	3.06147932307009	0.744727136911496
KT26calc	79	3.55555219588645	0.811394473906721
KT27calc	61	3.01983274780743	0.734596304237302
KT29calc	101	3.53910843025855	0.765217131675498
KT30calc	63	2.76838719006141	0.668186620248417
KT31calc	115	3.8337147540221	0.806488275155632
KT32calc	82	3.63570698076709	0.822773958932181
KT33calc	74	3.20026289426468	0.743544259894601
KT34calc	48	2.86533069866321	0.740165827243164
KT35calc	53	2.88638466388054	0.726995577838548
KT36calc	43	2.6677030766736	0.709269114807968
MID022.A0101	78	2.91605946355169	0.669326222970801
MID023.A0101	82	2.89344102486927	0.65479642324371
MID026.A0101	99	3.53710886752494	0.768073431528571
MID027.A0101	91	3.30771884673135	0.731506745697959
MID028.A0101	93	3.71908833433012	0.818588384104788
MID029.A0101	92	3.31350591942272	0.731038761405669
MID030.A0101	65	2.81813301740482	0.675100999307924
MID031.A0101	68	2.80030485116727	0.663656769184735
MID032.A0101	83	2.46499703942801	0.556330164693676
MID034.A0101	39	1.06554252240467	0.290848803794623
MID035.A0101	96	3.81783174700616	0.834551464550698
MID036.A0101	105	3.42938504073497	0.735376826313614
MID037.A0101	108	3.57187990679176	0.761376047238377
MID038.A0101	87	3.76407009251317	0.840693976906413
