Species
Actinomyces meyeri
Campylobacter concisus
Leptotrichia sp oral taxon 215
Prevotella intermedia
Prevotella pleuritidis
Propionibacterium sp oral taxon 192
Selenomonas infelix
Selenomonas sp FOBRC6
Selenomonas sputigena
Streptococcus viridans
Treponema vincentii
