Library_ID	Observed_species	Shannon_index	Pileou_evenness
ARS001.A0101	1	0	
ARS004.A0101	2	0.206338916476796	0.297684131543476
ARS005.A0101	1	0	
ARS006.A0101	1	0	
ARS010.A0101	0		
ARS011.A0101	1	0	
ARS012.A0101	1	0	
ARS013.A0101	1	0	
ARS015.A0101	2	0.299970749100021	0.432766312138347
ARS017.A0101	1	0	
CMB002.A0101	75	3.25593108739305	0.751819803150886
CMB003.A0101	36	2.43406182358442	0.679237884712586
CMB004.A0101	32	2.42397536358735	0.699411447256898
CMB005.A0101	73	3.08786188719756	0.719704248356922
CMB006.A0101	83	2.93284098174158	0.663712779448726
CMB007.A0101	40	2.24568982590554	0.608772895357448
CMB008.A0101	35	2.30525832030719	0.648391741241072
CS01	89	3.50576636824747	0.781031493637493
CS03	40	1.03623887113692	0.280908846175842
CS04	69	3.10888690965187	0.734248632214692
CS07	81	3.6217520001114	0.821870374964285
CS08	96	3.76375653600008	0.822730999550794
CS09	74	2.94515521137478	0.684272925152777
CS10	108	3.72073516813444	0.793105789964673
CS11	65	2.86578696557769	0.686516794032227
CS12	70	2.57331717382634	0.60368529846357
CS13	108	3.82056110493811	0.814384522497345
CS14	30	2.61250469665621	0.768113227048143
CS15	104	3.23726403592277	0.695593385494398
CS16	93	3.15122497974995	0.693599057681103
CS17	73	2.78882457341647	0.647951300230062
CS18	46	2.55462907704095	0.663514582117916
CS19	97	3.57092644164554	0.778833537698492
CS20	70	1.45917808122084	0.343457623955576
CS21	73	2.61717844963156	0.608071298402042
CS22	108	3.2457415360137	0.691856928433849
CS23	92	3.7368105307154	0.824429896433616
CS24	77	3.75411314665543	0.861685574132793
CS26	40	2.86232870587529	0.775934465053648
CS27	24	2.33553033525016	0.734893258555804
CS29	90	2.96941650591911	0.658281753539251
CS30	59	3.17669608574618	0.779072204595955
CS31	98	2.41308732298188	0.52514132420533
CS32	86	2.91254558504189	0.652173199192314
CS33	77	3.33382082219999	0.765215430918105
CS34	94	3.44051426194246	0.755513234951161
CS35	49	2.6576524391937	0.682881591548284
CS36	31	2.70069436752087	0.786460230251727
CS37	60	1.66008097110458	0.405457075210987
CS39	57	1.55434268716393	0.384447929099953
CS40	32	2.44154436923137	0.704480790720094
CS42	70	2.5479830507577	0.597742059984629
CS43	31	1.29262918235928	0.376422247779774
CS44	89	3.64082465875455	0.809106367933853
CS45	72	3.33115965510068	0.776410941717015
CS46	77	3.53106949599579	0.810490128319832
CS47	117	3.3545791322456	0.70316514217733
CS48	26	2.74582609465967	0.842770023115123
ELR004.A0101	74	3.43829996651089	0.796365821073376
ELR006.A0101	79	2.82342064488869	0.646173324461251
ELR008.A0101	66	3.01961025033559	0.718152436734595
IVE002.B0101	94	3.43273871077392	0.753805777469629
IVE003.A0101	70	3.28521495478568	0.770692392942702
IVE005.A0101	61	3.21604228925974	0.779243414247244
IVE005.B0101	78	3.19309557810102	0.730777820428312
IVE007.B0101	76	2.99711584336604	0.689974700129881
JAE006.A0101	76	2.67194644859237	0.615116514001711
