Library_ID	Observed_species	Shannon_index	Pileou_evenness
CMB001.A0101	30	2.63573554506358	0.774943424123038
CMB002.A0101	41	2.89157957225379	0.773631665599656
CMB003.A0101	28	2.34451044428167	0.703591402365157
CMB004.A0101	23	2.28050055335654	0.727317735676559
CMB005.A0101	44	2.85716435157037	0.755026737022154
CMB006.A0101	52	2.60060287635844	0.65817323900539
CMB007.A0101	26	2.11039968094211	0.647740070410459
CMB008.A0101	14	2.05624430050348	0.779158632678606
CS01	42	3.199324464917	0.855967699570616
CS02	27	1.85977953017034	0.564281427079558
CS03	15	1.04069188413965	0.384295639614094
CS04	36	2.77185739863055	0.773501534730203
CS07	44	3.30586331369728	0.868441403087655
CS08	48	3.40355907656273	0.874541683801552
CS09	39	2.78910759883602	0.761310404530127
CS10	70	3.52377837338445	0.826657988643115
CS11	35	2.81731863114406	0.792417108654004
CS12	29	1.96260414438997	0.582842804280091
CS13	67	3.58654651194829	0.849991696317712
CS14	11	1.75072575934945	0.730109350149531
CS15	61	2.90394682882232	0.706406210643074
CS16	53	2.88224355037252	0.722550784041116
CS17	37	2.65998202932726	0.73664981970731
CS18	16	2.33006343601778	0.822410158735841
CS19	53	3.36354211578908	0.843207713173511
CS20	25	1.42756989284839	0.443499522976113
CS21	35	2.38232035672734	0.670066703885339
CS22	65	3.01741125616052	0.722839320137147
CS23	57	3.35899783828565	0.827249103007021
CS24	27	2.66591452947695	0.808873326521448
CS26	23	2.65780106859699	0.847649807515079
CS27	5	1.45464190359445	0.903819831977528
CS29	39	2.80566499120646	0.760573780224103
CS30	33	2.76915481264939	0.791977355681156
CS31	57	2.50961440634395	0.618064186549493
CS32	38	2.77419176614753	0.762646338624788
CS33	42	2.95578969587525	0.790810852146099
CS34	53	3.18845358347904	0.799314699246609
CS35	30	2.52915817112105	0.743608173038479
CS36	25	2.59716447337474	0.806854509052423
CS37	25	1.81686718323213	0.564441526198522
CS39	28	1.75883825938661	0.527830225910754
CS40	22	2.22798171041393	0.720786512651518
CS42	29	2.23484986132983	0.65707737909573
CS43	23	1.21372020105356	0.387090556534129
CS44	40	2.87803557529003	0.780192362230857
CS45	31	2.85821846750538	0.824707521769452
CS46	32	2.91029863783744	0.839734682462795
CS47	79	3.23382897802686	0.740100142447294
CS48	7	1.64883110552153	0.847331571975196
ELR004.A0101	34	2.73117333321639	0.774502015364316
ELR006.A0101	45	2.67961919068514	0.703928755934131
ELR008.A0101	47	2.83745149983767	0.736972135452002
IVE002.B0101	61	3.23992104844463	0.785029210627273
IVE003.A0101	33	2.94994345885096	0.843682848383064
IVE005.A0101	33	2.77212820917255	0.792827746098133
IVE005.B0101	49	3.26021417161674	0.83338317977502
IVE007.B0101	47	2.75805933077227	0.716351583390534
JAE006.A0101	54	2.60363191011954	0.649716854020089
JAE007.A0101	51	2.68298483981469	0.679022867457523
JAE008.A0101	104	3.44513231082522	0.740258199816552
JAE009.A0101	113	3.43764152747892	0.725822949552342
JAE010.A0101	94	3.34908516886972	0.735436035841676
JAE012.A0101	89	2.97556954766612	0.661265645808466
JAE013.A0101	83	3.03406951343439	0.684765281703014
JAE014.A0101	110	3.63615158554451	0.772083717507806
JAE015.A0101	76	3.09380893002431	0.712234695057785
JAE016.A0101	100	3.05712532919302	0.663846330477595
KT01calc	87	3.78673071341991	0.845755159892125
KT02calc	23	2.34346000282705	0.74739732923813
KT03calc	36	2.85720743533556	0.797318915961006
KT04calc	41	2.95268548494625	0.789980331729361
KT05calc	26	2.41291720260244	0.740591070413068
KT06calc	29	2.45433713570526	0.728874818140085
KT07calc	46	2.97409124762879	0.776800681922329
KT08calc	55	3.15970760263432	0.784951935977863
KT10calc	23	2.41339991853343	0.769703195838381
KT11calc	32	2.69195316866685	0.7767334973482
KT12calc	26	2.5451834956579	0.781187256410608
KT13calc	22	2.37210684025425	0.767413219341918
KT14calc	36	2.54405870188423	0.70993309804588
KT15calc	29	2.66816321610629	0.792375648241458
KT16calc	30	2.87304090574719	0.844714547070227
KT17calc	22	2.33658034514864	0.755919849179045
KT18calc	32	2.58024015934189	0.744499936437018
KT19calc	80	3.41987469621041	0.778226024659815
KT20calc	37	2.78571423518826	0.771469831932103
KT21calc	28	2.61440676268499	0.784587727044257
KT22calc	53	3.45579043358905	0.866333480718113
KT23calc	46	2.94139252071671	0.763968768213011
KT24calc	42	2.69231152831225	0.720318220514304
KT25calc	41	2.86956774067909	0.772724398270734
KT26calc	52	3.31070977274879	0.837890550051262
KT27calc	31	2.70461790338679	0.78760279009027
KT28calc	21	2.42834777974692	0.797612048989445
KT29calc	63	3.2375085248232	0.781415217854359
KT30calc	29	2.52087736682583	0.748635550335936
KT31calc	82	3.70596087393793	0.838672675225971
KT32calc	60	3.46650110581103	0.843251634651684
KT33calc	53	2.96047001035626	0.745655502118383
KT34calc	32	2.70728544256212	0.781157456451051
KT35calc	31	2.71365679107501	0.790234974530682
KT36calc	31	2.59804510460743	0.756568079582276
MID022.A0101	43	2.71809275819109	0.722666349724355
MID023.A0101	46	2.72976014784659	0.709001428058019
MID026.A0101	61	3.32178362264563	0.808048053139093
MID027.A0101	53	3.11265221945048	0.78031202509607
MID028.A0101	60	3.45818235321578	0.841228037511487
MID029.A0101	60	3.04876363351652	0.741633952840734
MID030.A0101	32	2.65155293139177	0.7650764529547
MID031.A0101	37	2.52318517171907	0.698765586136344
MID032.A0101	46	2.18763833947895	0.568195966956514
MID034.A0101	24	0.972403928553605	0.305974656334611
MID035.A0101	60	3.47283548742088	0.848203035832452
