#Datasets	CMB001.A0101.unmapped	CMB002.A0101.unmapped	CMB003.A0101.unmapped	CMB004.A0101.unmapped	CMB005.A0101.unmapped	CMB006.A0101.unmapped	CMB007.A0101.unmapped	CMB008.A0101.unmapped	EXB034.A2701.unmapped	EXB059.A2101.unmapped	EXB059.A2201.unmapped	EXB059.A2301.unmapped	EXB059.A2401.unmapped	EXB059.A2501.unmapped	LIB058.A0102.unmapped	LIB058.A0103.unmapped	LIB058.A0104.unmapped	LIB058.A0105.unmapped	LIB058.A0106.unmapped	LIB058.A0107.unmapped	MID022.A0101.unmapped	MID023.A0101.unmapped	MID024.A0101.unmapped	MID025.A0101.unmapped	MID026.A0101.unmapped	MID027.A0101.unmapped	MID028.A0101.unmapped	MID029.A0101.unmapped	MID030.A0101.unmapped	MID031.A0101.unmapped	MID032.A0101.unmapped	MID033.A0101.unmapped	MID034.A0101.unmapped	MID035.A0101.unmapped	MID036.A0101.unmapped	MID037.A0101.unmapped	MID038.A0101.unmapped	MID039.A0101.unmapped	MID040.A0101.unmapped	MID041.A0101.unmapped	MID042.A0101.unmapped	MID043.A0101.unmapped	MID044.A0101.unmapped	MID045.A0101.unmapped	MID046.A0101.unmapped	MID047.A0101.unmapped	MID048.A0101.unmapped	MID049.A0101.unmapped	MID050.A0101.unmapped	MID051.A0101.unmapped	MID052.A0101.unmapped	MID053.A0101.unmapped	MID054.A0101.unmapped	MID055.A0101.unmapped	MID056.A0101.unmapped	MID057.A0101.unmapped	MID058.A0101.unmapped	MID059.A0101.unmapped	MID060.A0101.unmapped	MID061.A0101.unmapped	MID062.A0101.unmapped	MID063.A0101.unmapped	MID064.A0101.unmapped	MID065.A0101.unmapped	MID066.A0101.unmapped	MID067.A0101.unmapped	MID068.A0101.unmapped	MID068.B0101.unmapped	MID070.A0101.unmapped	MID071.A0101.unmapped	MID072.A0101.unmapped	MID073.A0101.unmapped	MID074.A0101.unmapped	MID075.A0101.unmapped	MID076.A0101.unmapped	MID077.A0101.unmapped	MID078.A0101.unmapped	MID079.A0101.unmapped	MID080.A0101.unmapped	MID081.A0101.unmapped	MID082.A0101.unmapped	MID083.A0101.unmapped	MID084.A0101.unmapped	MID085.A0101.unmapped	MID086.A0101.unmapped	MID087.A0101.unmapped	MID088.A0101.unmapped	MID089.A0101.unmapped	MID090.A0101.unmapped	MID091.A0101.unmapped	MID092.A0101.unmapped	MID093.A0101.unmapped	MID094.A0101.unmapped	MID097.A0101.unmapped	MID101.A0101.unmapped	MID102.A0101.unmapped
"Desulfarculus"	184.0	0.0	0.0	0.0	0.0	0.0	218.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	500.0	314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Desulfococcus"	439.0	301.0	0.0	0.0	386.0	678.0	930.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	484.0	0.0	0.0	0.0	0.0	0.0	166.0	243.0	0.0	177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0	389.0	605.0	0.0	0.0	536.0	0.0	437.0	0.0	0.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	0.0	608.0	0.0	265.0	0.0	0.0	0.0	0.0	0.0	0.0	432.0	0.0	0.0	722.0	898.0	186.0	0.0	0.0	0.0	0.0	0.0	192.0	0.0	0.0	516.0	0.0	0.0
"Desulfobulbus"	5321.0	2461.0	939.0	583.0	6420.0	6346.0	6729.0	1202.0	57.0	39.0	97.0	150.0	92.0	150.0	0.0	77.0	0.0	0.0	196.0	0.0	4057.0	465.0	797.0	4718.0	431.0	0.0	1219.0	590.0	1599.0	3341.0	2657.0	333.0	2961.0	1020.0	720.0	879.0	476.0	1040.0	2672.0	1860.0	0.0	605.0	790.0	888.0	1084.0	1008.0	365.0	1194.0	2079.0	717.0	1428.0	8192.0	1464.0	842.0	0.0	5874.0	2156.0	5764.0	1157.0	0.0	1984.0	2060.0	1140.0	484.0	544.0	995.0	256.0	0.0	4307.0	861.0	8581.0	1481.0	1783.0	1115.0	947.0	1836.0	1085.0	0.0	317.0	1851.0	2541.0	1356.0	7242.0	0.0	1932.0	871.0	1429.0	1706.0	438.0	1219.0	2991.0	3582.0	3491.0	4591.0	434.0	418.0
"Desulfotalea"	0.0	0.0	0.0	0.0	0.0	0.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Desulfurivibrio"	674.0	311.0	0.0	0.0	648.0	783.0	760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	503.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	294.0	293.0	0.0	313.0	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	684.0	0.0	0.0	0.0	534.0	230.0	616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	467.0	0.0	1000.0	0.0	159.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	646.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	242.0	0.0	0.0	631.0	0.0	0.0
"Desulfomicrobium"	9280.0	6031.0	1048030.0	659853.0	5076.0	11196.0	9672.0	6839.0	4096.0	332.0	5279.0	14008.0	2432.0	17125.0	1621.0	18498.0	174.0	94.0	674.0	47.0	57094.0	23472.0	692095.0	6429.0	968.0	653.0	2094.0	114696.0	286118.0	7403.0	3843.0	177008.0	4020.0	2111.0	1295.0	110163.0	884.0	1525.0	5749.0	2931.0	13571.0	76083.0	549052.0	1615.0	3011.0	105428.0	539.0	2022.0	136008.0	674404.0	674326.0	9396.0	3587.0	324777.0	25466.0	6990.0	103379.0	8567.0	340480.0	0.0	3459.0	4698.0	2650.0	902.0	139562.0	661064.0	45483.0	25569.0	6995.0	1489.0	13775.0	3476.0	2524.0	171229.0	189870.0	3127.0	2292.0	20871.0	730.0	63620.0	4246.0	2460.0	11302.0	689695.0	2518.0	1246.0	2093.0	3085.0	565.0	4231.0	34449.0	4995.0	4082.0	11115.0	87755.0	193812.0
"Desulfocurvibacter"	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Desulfovibrio"	8292.0	4108.0	2430.0	1905.0	5142.0	10704.0	5356.0	1511.0	96.0	56.0	182.0	290.0	133.0	267.0	0.0	156.0	99.0	0.0	279.0	0.0	6070.0	448.0	1496.0	3901.0	2386.0	845.0	1385.0	2203.0	1864.0	6357.0	5626.0	1353.0	3689.0	1426.0	907.0	1047.0	775.0	1303.0	4448.0	1807.0	0.0	628.0	3214.0	2511.0	1309.0	1858.0	781.0	1692.0	3058.0	911.0	2279.0	6134.0	8245.0	1463.0	5514.0	5926.0	2115.0	5882.0	1424.0	1284.0	2256.0	2408.0	1925.0	981.0	1779.0	2271.0	2351.0	635.0	4635.0	2842.0	7482.0	2365.0	2697.0	1218.0	2588.0	2279.0	1761.0	913.0	1795.0	2441.0	3279.0	1864.0	10147.0	1708.0	1741.0	2145.0	1620.0	3001.0	621.0	1763.0	2888.0	4039.0	4244.0	5946.0	1024.0	937.0
"Pseudodesulfovibrio"	736.0	0.0	0.0	0.0	0.0	692.0	1224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	382.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	0.0	0.0	0.0	332.0	0.0	273.0	0.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	598.0	0.0	0.0
"Desulfuromonas"	338.0	0.0	0.0	0.0	328.0	389.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	382.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	405.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.0	0.0	0.0
