Species
Bradyrhizobium ottawaense
Bradyrhizobium pachyrhizi
Bradyrhizobium sp.
Bradyrhizobium sp. 2 39S1MB
Bradyrhizobium sp. 3 85S1MB
Bradyrhizobium sp. Ai1a-2
Bradyrhizobium sp. AT1
Bradyrhizobium sp. BR 10245
Bradyrhizobium sp. BR 10303
Bradyrhizobium sp. BR10280
Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. cf659
Bradyrhizobium sp. Cp5.3
Bradyrhizobium sp. DOA1
Bradyrhizobium sp. DOA9
Bradyrhizobium sp. Ec3.3
Bradyrhizobium sp. Gha
Bradyrhizobium sp. Ghvi
Bradyrhizobium sp. INPA54B
Bradyrhizobium sp. Leaf396
Bradyrhizobium sp. LTSP849
Bradyrhizobium sp. LTSP885
Bradyrhizobium sp. LTSPM299
Bradyrhizobium sp. ORS 278
Bradyrhizobium sp. ORS 285
Bradyrhizobium sp. ORS 3257
Bradyrhizobium sp. ORS 375
Bradyrhizobium sp. R5
Bradyrhizobium sp. Rc2d
Bradyrhizobium sp. S23321
Bradyrhizobium sp. SK17
Bradyrhizobium sp. STM 3843
Bradyrhizobium sp. th.b2
Bradyrhizobium sp. TSA1
Bradyrhizobium sp. URHA0002
Bradyrhizobium sp. URHD0069
Bradyrhizobium sp. WSM1253
Bradyrhizobium sp. WSM1417
Bradyrhizobium sp. WSM1743
Bradyrhizobium sp. WSM2254
Bradyrhizobium sp. WSM3983
Bradyrhizobium sp. WSM4349
Bradyrhizobium valentinum
Bradyrhizobium yuanmingense
Brevundimonas diminuta
Brevundimonas sp. Root1423
Burkholderia ambifaria
Burkholderia anthina
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia diffusa
Burkholderia gladioli
Burkholderia glumae
Burkholderia insecticola
Burkholderia lata
Burkholderia latens
Burkholderia metallica
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia pseudomallei
Burkholderia pseudomultivorans
Burkholderia pyrrocinia
Burkholderia sp. BDU6
Burkholderia sp. Bp7605
Burkholderia sp. IDO3
Burkholderia sp. K24
Burkholderia sp. LA-2-3-30-S1-D2
Burkholderia sp. MSMB0856
Burkholderia stabilis
Burkholderia stagnalis
Burkholderia territorii
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderiales bacterium
Burkholderiales bacterium GJ-E10
Burkholderiales bacterium JOSHI_001
Caenispirillum bisanense
Candidatus Accumulibacter phosphatis
Candidatus Blastococcus massiliensis
Candidatus Koribacter versatilis
Candidatus Kryptobacter tengchongensis
Candidatus Kryptonium thompsoni
Candidatus Microthrix parvicella
Candidatus Nitrospira inopinata
Candidatus Promineofilum breve
Candidatus Solibacter usitatus
Castellaniella defragrans
Catelliglobosispora koreensis
Catenulispora acidiphila
Caulobacter henricii
Caulobacter mirabilis
Caulobacter sp. Root655
Caulobacter sp. UNC358MFTsu5.1
Caulobacteraceae bacterium OTSz_A_272
Cellulomonas fimi
Cellulomonas flavigena
Cellulomonas gilvus
Cellulomonas massiliensis
Cellulomonas sp. A375-1
Cellulomonas sp. KH9
Cellulomonas sp. Leaf395
Cellulomonas sp. PSBB021
Cellulomonas sp. Root137
Cellulomonas sp. URHD0024
Cellulosimicrobium cellulans
Chelativorans sp. J32
Chelatococcus asaccharovorans
Chelatococcus sp. CO-6
Chitinimonas koreensis
Chitiniphilus shinanonensis
Chlorobaculum limnaeum
Chlorobaculum parvum
Chlorobaculum tepidum
Chlorobium limicola
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chondromyces crocatus
Chthoniobacter flavus
Citrobacter werkmanii
Clavibacter michiganensis
Cloacibacillus porcorum
