Cellulomonas sp. PSBB021
Cellulosimicrobium cellulans
Cellulosimicrobium sp. TH-20
Cellvibrio sp. PSBB023
Chelativorans sp. BNC1
Chelatococcus daeguensis
Chelatococcus sp. CO-6
Chitinophaga pinensis
Chloracidobacterium thermophilum
Chlorobaculum limnaeum
Chondromyces crocatus
Chromatiaceae bacterium 2141T.STBD.0c.01a
Chromobacterium vaccinii
Chromobacterium violaceum
Chromohalobacter salexigens
Chryseobacterium taklimakanense
Citrobacter koseri
Clavibacter michiganensis
Clostridium beijerinckii
Clostridium butyricum
Clostridium kluyveri
Clostridium sp. BNL1100
Clostridium tyrobutyricum
Cnuibacter physcomitrellae
Collimonas arenae
Collimonas fungivorans
Collimonas pratensis
Comamonadaceae bacterium A1
Comamonadaceae bacterium B1
Comamonas aquatica
Comamonas kerstersii
Comamonas serinivorans
Comamonas testosteroni
Conexibacter woesei
Confluentimicrobium sp. EMB200-NS6
Coprococcus catus
Coprococcus sp. ART55/1
Corallococcus coralloides
Corynebacterium atypicum
Corynebacterium doosanense
Corynebacterium frankenforstense
Corynebacterium halotolerans
Corynebacterium humireducens
Corynebacterium imitans
Corynebacterium marinum
Corynebacterium phocae
Corynebacterium riegelii
Corynebacterium sphenisci
Corynebacterium variabile
Corynebacterium vitaeruminis
Croceicoccus marinus
Cryobacterium
Cryobacterium arcticum
Cupriavidus basilensis
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus nantongensis
Cupriavidus necator
Cupriavidus pinatubonensis
Cupriavidus taiwanensis
Curtobacterium pusillum
Curtobacterium sp. 9128
Curtobacterium sp. BH-2-1-1
Curtobacterium sp. MR_MD2014
Curvibacter putative symbiont of Hydra magnipapillata
Curvibacter sp. AEP1-3
Cutibacterium acnes
Cutibacterium avidum
Cutibacterium granulosum
Cyanobium gracile
Cyanobium sp. NIES-981
Cyprinus carpio
Cystobacter fuscus
Cytophaga hutchinsonii
Dechloromonas aromatica
Defluviimonas alba
Dehalogenimonas lykanthroporepellens
Deinococcus
Deinococcus actinosclerus
Deinococcus ficus
Deinococcus gobiensis
Deinococcus maricopensis
Deinococcus peraridilitoris
Deinococcus radiodurans
Deinococcus swuensis
Delftia acidovorans
Delftia tsuruhatensis
Dermacoccus nishinomiyaensis
Desulfarculus baarsii
Desulfomicrobium baculatum
Desulfotalea psychrophila
Desulfovibrio desulfuricans
Desulfovibrio magneticus
Desulfovibrio vulgaris
Desulfurispirillum indicum
Desulfuromonas soudanensis
Desulfuromonas sp. DDH964
Devosia sp. A16
Devosia sp. H5989
Diaphorobacter polyhydroxybutyrativorans
Dichelobacter nodosus
Dietzia timorensis
Dinoroseobacter shibae
Dokdonella koreensis
Dyella japonica
Dyella jiangningensis
Dyella thiooxydans
Eggerthella sp. YY7918
Emiliania huxleyi
endosymbiont of unidentified scaly snail isolate Monju
Ensifer adhaerens
Ensifer sojae
Enterococcus cecorum
Enterococcus faecalis
Erythrobacter litoralis
Erythrobacter sp. HL-111
Escherichia coli
Ethanoligenens harbinense
Faecalitalea cylindroides
Filimonas lacunae
Fimbriimonas ginsengisoli
Flavobacterium branchiophilum
Flavobacterium columnare
Flavobacterium commune
Flavobacterium gilvum
Flavobacterium johnsoniae
Flavobacterium psychrophilum
Frankia
Frankia alni
Frankia casuarinae
Frankia inefficax
Frankia sp. EAN1pec
Frankia symbiont of Datisca glomerata
Frankineae bacterium MT45
Friedmanniella luteola
Friedmanniella sagamiharensis
