#Datasets	KT01calc.unmapped	KT02calc.unmapped	KT03calc.unmapped	KT04calc.unmapped	KT05calc.unmapped	KT06calc.unmapped	KT07calc.unmapped	KT08calc.unmapped	KT09calc.unmapped	KT10calc.unmapped	KT11calc.unmapped	KT12calc.unmapped	KT13calc.unmapped	KT14calc.unmapped	KT15calc.unmapped	KT16calc.unmapped	KT17calc.unmapped	KT18calc.unmapped	KT19calc.unmapped	KT20calc.unmapped	KT21calc.unmapped	KT22calc.unmapped	KT23calc.unmapped	KT24calc.unmapped	KT25calc.unmapped	KT26calc.unmapped	KT27calc.unmapped	KT28calc.unmapped	KT29calc.unmapped	KT30calc.unmapped	KT31calc.unmapped	KT32calc.unmapped	KT33calc.unmapped	KT34calc.unmapped	KT35calc.unmapped	KT36calc.unmapped
"Murdochiella vaginalis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Parvimonas micra"	35880.0	2112.0	1261.0	7646.0	1303.0	6616.0	15997.0	1042.0	680.0	2172.0	7792.0	868.0	1729.0	1522.0	2133.0	5923.0	592.0	4673.0	14629.0	8577.0	2959.0	3951.0	5038.0	13444.0	5912.0	6868.0	2325.0	4553.0	8679.0	3125.0	14339.0	4687.0	5130.0	8879.0	3484.0	5690.0
"Parvimonas sp. KA00067"	3374.0	0.0	0.0	290.0	0.0	395.0	544.0	0.0	0.0	232.0	487.0	0.0	0.0	0.0	0.0	330.0	0.0	250.0	592.0	0.0	0.0	0.0	362.0	672.0	498.0	770.0	216.0	230.0	889.0	238.0	872.0	392.0	553.0	0.0	0.0	246.0
"Peptoniphilus indolicus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	238.0	0.0	0.0	0.0	0.0	0.0	0.0	447.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Peptoniphilus sp. oral taxon 386"	2263.0	386.0	0.0	598.0	0.0	2249.0	599.0	0.0	1548.0	1035.0	596.0	647.0	1012.0	0.0	1361.0	317.0	762.0	2315.0	0.0	1222.0	494.0	335.0	1426.0	2768.0	2002.0	937.0	720.0	2421.0	940.0	873.0	1763.0	730.0	727.0	474.0	626.0	1477.0
"Tissierella praeacuta"	0.0	0.0	0.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0
"Candidatus Methanomethylophilus alvus"	0.0	658.0	0.0	0.0	0.0	0.0	0.0	0.0	2193.0	251.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	463.0	0.0	358.0	0.0	441.0	0.0	0.0	0.0	0.0	0.0	808.0
"Thermoplasmatales archaeon BRNA1"	0.0	629.0	0.0	0.0	0.0	0.0	0.0	0.0	1968.0	251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	453.0	0.0	364.0	0.0	405.0	0.0	0.0	0.0	0.0	0.0	769.0
"methanogenic archaeon ISO4-H5"	0.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	882.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0
"Methanobrevibacter arboriphilus"	995.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4992.0	0.0	0.0	0.0	0.0	0.0	0.0	337.0	0.0	0.0	0.0	0.0	0.0	0.0	617.0	0.0	3411.0	0.0	0.0	2543.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Methanobrevibacter millerae"	2509.0	465.0	0.0	296.0	0.0	248.0	0.0	0.0	8159.0	380.0	337.0	0.0	0.0	723.0	354.0	563.0	0.0	842.0	1012.0	0.0	540.0	0.0	1465.0	1840.0	5646.0	533.0	532.0	4515.0	418.0	0.0	582.0	0.0	0.0	460.0	403.0	1939.0
"Methanobrevibacter olleyae"	1364.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	5828.0	0.0	0.0	0.0	0.0	0.0	0.0	398.0	0.0	245.0	0.0	0.0	0.0	0.0	810.0	554.0	3930.0	313.0	186.0	3108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	519.0
"Methanobrevibacter oralis"	43004.0	1214.0	0.0	3355.0	660.0	127558.0	3974.0	966.0	68394.0	40508.0	7122.0	6069.0	15919.0	9474.0	28757.0	5424.0	254.0	16187.0	2801.0	3078.0	6067.0	0.0	25342.0	42594.0	59755.0	24553.0	3334.0	122260.0	9844.0	469.0	77857.0	0.0	7702.0	2638.0	42842.0	5383.0
"Methanobrevibacter ruminantium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	635.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Methanobrevibacter smithii"	4817.0	449.0	0.0	500.0	304.0	383.0	0.0	0.0	20304.0	334.0	656.0	0.0	0.0	750.0	358.0	1384.0	0.0	696.0	957.0	0.0	484.0	0.0	2774.0	1754.0	13875.0	1131.0	675.0	11070.0	914.0	0.0	585.0	0.0	0.0	397.0	381.0	1799.0
"Methanobrevibacter wolinii"	830.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4531.0	0.0	0.0	0.0	0.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	570.0	0.0	2934.0	0.0	0.0	2310.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Methanobrevibacter sp. AbM4"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1926.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1255.0	0.0	0.0	1028.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Methanobrevibacter sp. YE315"	2942.0	879.0	0.0	381.0	0.0	497.0	0.0	387.0	5914.0	635.0	379.0	179.0	0.0	1287.0	685.0	433.0	0.0	1614.0	1890.0	517.0	971.0	0.0	1530.0	3415.0	3793.0	524.0	797.0	3490.0	434.0	361.0	1054.0	0.0	0.0	804.0	717.0	3782.0
"Methanosphaera stadtmanae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.0	0.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Methanothermus fervidus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Homo sapiens"	889.0	0.0	0.0	359.0	0.0	580.0	361.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	666.0	0.0	0.0	601.0	688.0	404.0	0.0	306.0	0.0	271.0	243.0	0.0	437.0	258.0	0.0	0.0	969.0	0.0	0.0	0.0	0.0	1045.0
"Not assigned"	2154.0	1023.0	697.0	1276.0	1896.0	1368.0	1058.0	564.0	1707.0	1454.0	1119.0	973.0	960.0	964.0	1542.0	1012.0	862.0	1905.0	1153.0	1491.0	1151.0	903.0	1721.0	1271.0	1184.0	1404.0	857.0	1292.0	1119.0	1088.0	1668.0	1113.0	1223.0	6283.0	889.0	1120.0
