#Datasets	KT01calc.unmapped	KT02calc.unmapped	KT03calc.unmapped	KT04calc.unmapped	KT05calc.unmapped	KT06calc.unmapped	KT07calc.unmapped	KT08calc.unmapped	KT09calc.unmapped	KT10calc.unmapped	KT11calc.unmapped	KT12calc.unmapped	KT13calc.unmapped	KT14calc.unmapped	KT15calc.unmapped	KT16calc.unmapped	KT17calc.unmapped	KT18calc.unmapped	KT19calc.unmapped	KT20calc.unmapped	KT21calc.unmapped	KT22calc.unmapped	KT23calc.unmapped	KT24calc.unmapped	KT25calc.unmapped	KT26calc.unmapped	KT27calc.unmapped	KT28calc.unmapped	KT29calc.unmapped	KT30calc.unmapped	KT31calc.unmapped	KT32calc.unmapped	KT33calc.unmapped	KT34calc.unmapped	KT35calc.unmapped	KT36calc.unmapped
"Catonella morbi"	23630.0	1157.0	5886.0	1463.0	2760.0	2065.0	4892.0	2018.0	1144.0	1975.0	2663.0	1752.0	2387.0	6222.0	7139.0	2533.0	1202.0	4346.0	12976.0	4435.0	1318.0	2293.0	2643.0	8160.0	4789.0	5205.0	4552.0	2200.0	16367.0	3833.0	11122.0	5567.0	13406.0	2348.0	3054.0	2397.0
"Johnsonella ignava"	25480.0	1492.0	15970.0	2993.0	7126.0	3719.0	16075.0	3610.0	226.0	3366.0	19188.0	2378.0	2013.0	12751.0	5550.0	10260.0	3744.0	3760.0	6189.0	6750.0	11054.0	24883.0	15814.0	5883.0	7759.0	6353.0	2093.0	1237.0	18476.0	10329.0	12642.0	27310.0	5971.0	20861.0	7953.0	5285.0
"Lachnoanaerobaculum saburreum"	2549.0	0.0	499.0	571.0	369.0	420.0	404.0	456.0	0.0	275.0	478.0	0.0	216.0	2655.0	841.0	474.0	176.0	561.0	2248.0	516.0	258.0	791.0	474.0	701.0	439.0	1554.0	363.0	214.0	2110.0	475.0	1387.0	1070.0	530.0	435.0	371.0	537.0
"Lachnoanaerobaculum umeaense"	1372.0	0.0	0.0	302.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.0	0.0	0.0	0.0	266.0	459.0	0.0	0.0	0.0	0.0	455.0	0.0	835.0	0.0	0.0	966.0	0.0	532.0	343.0	0.0	0.0	0.0	0.0
"Lachnoanaerobaculum sp. OBRC5-5"	1408.0	0.0	0.0	640.0	0.0	0.0	0.0	410.0	0.0	0.0	0.0	0.0	0.0	344.0	0.0	0.0	0.0	374.0	482.0	0.0	0.0	305.0	0.0	454.0	0.0	830.0	231.0	0.0	777.0	0.0	637.0	409.0	0.0	0.0	0.0	0.0
"Oribacterium sinus"	837.0	0.0	0.0	0.0	0.0	0.0	0.0	1139.0	0.0	0.0	411.0	0.0	0.0	377.0	0.0	0.0	0.0	0.0	873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	885.0	0.0	524.0	0.0	0.0	0.0	0.0	0.0
"Oribacterium sp. oral taxon 078"	3179.0	1077.0	7409.0	2883.0	882.0	998.0	365.0	0.0	404.0	752.0	17343.0	393.0	3335.0	3381.0	1075.0	463.0	342.0	8629.0	5130.0	716.0	2344.0	5746.0	2607.0	1313.0	739.0	487.0	427.0	557.0	14272.0	618.0	1826.0	586.0	641.0	1196.0	1071.0	4438.0
"Shuttleworthia satelles"	0.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	191.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	376.0	280.0	0.0	0.0	188.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	241.0
"Stomatobaculum longum"	2065.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	585.0	0.0	0.0	706.0	347.0	0.0	0.0	330.0	0.0	0.0	0.0	999.0	0.0	506.0	397.0	0.0	241.0	0.0	2502.0	0.0	0.0	325.0	0.0	0.0	243.0	326.0
"Lachnospiraceae bacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.0
