Species
Methyloceanibacter caenitepidi
Methylocella silvestris
Methylococcus capsulatus
Methylocystis sp. ATCC 49242
Methylophilus methylotrophus
Methylorubrum extorquens
Methylorubrum populi
Methylosinus trichosporium
Methylotenera mobilis
Methylotenera versatilis
Methyloversatilis discipulorum
Methyloversatilis sp. RAC08
Methyloversatilis thermotolerans
Methyloversatilis universalis
Methylovirgula ligni
Microbacterium sp. cf046
Microbacterium sp. No. 7
Microbacterium testaceum
Microbispora rosea
Microbispora sp. ATCC PTA-5024
Microbispora sp. GMKU363
Micrococcus luteus
Microlunatus phosphovorus
Microlunatus soli
Micromonospora aurantiaca
Micromonospora auratinigra
Micromonospora carbonacea
Micromonospora chaiyaphumensis
Micromonospora chokoriensis
Micromonospora coriariae
Micromonospora coxensis
Micromonospora echinaurantiaca
Micromonospora echinofusca
Micromonospora echinospora
Micromonospora endolithica
Micromonospora haikouensis
Micromonospora halophytica
Micromonospora humi
Micromonospora inositola
Micromonospora krabiensis
Micromonospora lupini
Micromonospora matsumotoense
Micromonospora mirobrigensis
Micromonospora narathiwatensis
Micromonospora purpureochromogenes
Micromonospora rifamycinica
Micromonospora saelicesensis
Micromonospora siamensis
Micromonospora sp. ATCC 39149
Micromonospora sp. CB01531
Micromonospora sp. HK10
Micromonospora sp. RV43
Micromonospora sp. TSRI0369
Micromonospora tulbaghiae
Micromonospora viridifaciens
Micromonospora zamorensis
Micropruina glycogenica
Microterricola viridarii
Microtetraspora fusca
Microtetraspora glauca
Microtetraspora malaysiensis
Microtetraspora niveoalba
Microvirga flocculans
Microvirga lotononidis
Microvirga massiliensis
Microvirga ossetica
Microvirga sp. KLBC 81
Microvirga subterranea
Microvirga vignae
Mitsuaria sp. 7
Mizugakiibacter sediminis
Mobilicoccus massiliensis
Mobiluncus curtisii
Mobiluncus holmesii
Modestobacter caceresii
Modestobacter marinus
Modestobacter sp. DSM 44400
Moraxella osloensis
Motilibacter peucedani
Murinocardiopsis flavida
Mycobacterium asiaticum
Mycobacterium avium
Mycobacterium bohemicum
Mycobacterium canettii
Mycobacterium chimaera
Mycobacterium colombiense
Mycobacterium dioxanotrophicus
Mycobacterium gordonae
Mycobacterium haemophilum
Mycobacterium interjectum
Mycobacterium intermedium
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium marinum
Mycobacterium marseillense
Mycobacterium montefiorense
Mycobacterium nebraskense
Mycobacterium paraffinicum
Mycobacterium paragordonae
Mycobacterium parascrofulaceum
Mycobacterium sherrisii
Mycobacterium shigaense
Mycobacterium shimoidei
Mycobacterium simiae
Mycobacterium sp. 141
Mycobacterium sp. 155
Mycobacterium sp. 360MFTsu5.1
Mycobacterium sp. 455mf
Mycobacterium sp. 88mf
Mycobacterium sp. AB308
Mycobacterium sp. AB57
Mycobacterium sp. AT1
Mycobacterium sp. djl-10
Mycobacterium sp. EPa45
Mycobacterium sp. JLS
Mycobacterium sp. JS623
Mycobacterium sp. M26
Mycobacterium sp. MS1601
Mycobacterium sp. QGD 101
Mycobacterium sp. Root135
Mycobacterium sp. Root265
Mycobacterium sp. Soil538
Mycobacterium sp. UM_NYF
Mycobacterium sp. UM_WWY
Mycobacterium sp. UNC267MFSha1.1M11
Mycobacterium sp. UNC280MFTsu5.1
Mycobacterium sp. URHB0044
Mycobacterium sp. URHD0025
Mycobacterium sp. WY10
Mycobacterium sp. YC-RL4
Mycobacterium triplex
Mycobacterium tuberculosis
Mycobacteroides abscessus
Mycobacteroides immunogenum
Mycobacteroides saopaulense
Mycolicibacter icosiumassiliensis
Mycolicibacter sinensis
Mycolicibacter terrae
Mycolicibacterium acapulense
Mycolicibacterium aurum
Mycolicibacterium austroafricanum
Mycolicibacterium chubuense
Mycolicibacterium farcinogenes
Mycolicibacterium fortuitum
Mycolicibacterium gilvum
Mycolicibacterium goodii
Mycolicibacterium hassiacum
Mycolicibacterium houstonense
Mycolicibacterium litorale
Mycolicibacterium neoaurum
Mycolicibacterium peregrinum
Mycolicibacterium phlei
Mycolicibacterium rhodesiae
Mycolicibacterium rutilum
Mycolicibacterium septicum
Mycolicibacterium setense
Mycolicibacterium smegmatis
Mycolicibacterium thermoresistibile
Mycolicibacterium tusciae
Mycolicibacterium vaccae
Mycolicibacterium vanbaalenii
Mycoplana dimorpha
Myxococcus fulvus
Myxococcus hansupus
Myxococcus stipitatus
Nakamurella lactea
Nakamurella multipartita
Nakamurella panacisegetis
