#Datasets	CMB001.A0101.unmapped	CMB002.A0101.unmapped	CMB003.A0101.unmapped	CMB004.A0101.unmapped	CMB005.A0101.unmapped	CMB006.A0101.unmapped	CMB007.A0101.unmapped	CMB008.A0101.unmapped	EXB034.A2701.unmapped	EXB059.A2101.unmapped	EXB059.A2201.unmapped	EXB059.A2301.unmapped	EXB059.A2401.unmapped	EXB059.A2501.unmapped	LIB058.A0102.unmapped	LIB058.A0103.unmapped	LIB058.A0104.unmapped	LIB058.A0105.unmapped	LIB058.A0106.unmapped	LIB058.A0107.unmapped	MID022.A0101.unmapped	MID023.A0101.unmapped	MID024.A0101.unmapped	MID025.A0101.unmapped	MID026.A0101.unmapped	MID027.A0101.unmapped	MID028.A0101.unmapped	MID029.A0101.unmapped	MID030.A0101.unmapped	MID031.A0101.unmapped	MID032.A0101.unmapped	MID033.A0101.unmapped	MID034.A0101.unmapped	MID035.A0101.unmapped	MID036.A0101.unmapped	MID037.A0101.unmapped	MID038.A0101.unmapped	MID039.A0101.unmapped	MID040.A0101.unmapped	MID041.A0101.unmapped	MID042.A0101.unmapped	MID043.A0101.unmapped	MID044.A0101.unmapped	MID045.A0101.unmapped	MID046.A0101.unmapped	MID047.A0101.unmapped	MID048.A0101.unmapped	MID049.A0101.unmapped	MID050.A0101.unmapped	MID051.A0101.unmapped	MID052.A0101.unmapped	MID053.A0101.unmapped	MID054.A0101.unmapped	MID055.A0101.unmapped	MID056.A0101.unmapped	MID057.A0101.unmapped	MID058.A0101.unmapped	MID059.A0101.unmapped	MID060.A0101.unmapped	MID061.A0101.unmapped	MID062.A0101.unmapped	MID063.A0101.unmapped	MID064.A0101.unmapped	MID065.A0101.unmapped	MID066.A0101.unmapped	MID067.A0101.unmapped	MID068.A0101.unmapped	MID068.B0101.unmapped	MID070.A0101.unmapped	MID071.A0101.unmapped	MID072.A0101.unmapped	MID073.A0101.unmapped	MID074.A0101.unmapped	MID075.A0101.unmapped	MID076.A0101.unmapped	MID077.A0101.unmapped	MID078.A0101.unmapped	MID079.A0101.unmapped	MID080.A0101.unmapped	MID081.A0101.unmapped	MID082.A0101.unmapped	MID083.A0101.unmapped	MID084.A0101.unmapped	MID085.A0101.unmapped	MID086.A0101.unmapped	MID087.A0101.unmapped	MID088.A0101.unmapped	MID089.A0101.unmapped	MID090.A0101.unmapped	MID091.A0101.unmapped	MID092.A0101.unmapped	MID093.A0101.unmapped	MID094.A0101.unmapped	MID097.A0101.unmapped	MID101.A0101.unmapped	MID102.A0101.unmapped
"uncultured bacterium EB1"	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodothermaceae"	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides cellulosilyticus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	309.0	0.0	0.0	454.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides dorei"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	206.0	206.0	0.0	0.0	0.0	0.0	329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides fragilis"	215.0	0.0	0.0	0.0	427.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0	0.0	0.0	0.0	0.0	238.0	251.0	237.0	235.0	307.0	344.0	0.0	0.0	0.0	0.0	378.0	0.0	0.0	0.0	383.0	347.0	158.0	0.0	0.0	0.0	422.0	0.0	0.0	665.0	467.0	0.0	563.0	0.0	262.0	0.0	398.0	0.0	420.0	0.0	0.0	0.0	362.0	0.0	245.0	0.0	753.0	0.0	481.0	476.0	233.0	0.0	565.0	0.0	280.0	0.0	0.0	425.0	364.0	0.0	589.0	0.0	257.0	0.0	0.0	259.0	0.0	373.0	411.0	470.0	501.0	279.0	0.0	0.0
"Bacteroides helcogenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.0	0.0	223.0	196.0	266.0	0.0	0.0	0.0	0.0	436.0	0.0	0.0	0.0	402.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	428.0	551.0	0.0	872.0	0.0	0.0	0.0	256.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	243.0	0.0	400.0	0.0	0.0	517.0	348.0	0.0	323.0	0.0	0.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides salanitronis"	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	168.0	0.0	276.0	0.0	0.0	0.0	0.0	402.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	618.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	261.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	0.0	0.0	153.0	0.0	511.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides thetaiotaomicron"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	167.0	216.0	0.0	0.0	0.0	0.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	508.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390.0	0.0	0.0	0.0	133.0	0.0	332.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides vulgatus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Barnesiella viscericola"	0.0	0.0	0.0	0.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum saccharofermentans"	0.0	677.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	0.0	0.0	0.0	918.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	0.0	461.0	0.0	0.0
"Odoribacter splanchnicus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	147.0	0.0	0.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.0	0.0	0.0
"Paludibacter propionicigenes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	455.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fermentimonas caenicola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Petrimonas mucosa"	0.0	703.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0	893.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	426.0	0.0	0.0	0.0	268.0	0.0	0.0	0.0	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.0	0.0	0.0	470.0	0.0	0.0
"Porphyromonas asaccharolytica"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas gingivalis"	48154.0	11405.0	34329.0	15021.0	21970.0	25068.0	24708.0	8122.0	430.0	163.0	643.0	1132.0	729.0	2781.0	95.0	1930.0	925.0	22.0	1440.0	0.0	25508.0	3849.0	39919.0	43652.0	2830.0	18215.0	7638.0	8648.0	14756.0	16729.0	20658.0	73709.0	21950.0	11089.0	6212.0	17262.0	16929.0	14693.0	35806.0	19092.0	2601.0	4124.0	42097.0	7459.0	17199.0	8993.0	2366.0	16411.0	28765.0	28393.0	19889.0	31625.0	54720.0	12592.0	35580.0	49530.0	25394.0	25690.0	11087.0	4185.0	52402.0	16670.0	16935.0	5166.0	6839.0	24957.0	7437.0	4698.0	46533.0	85096.0	55227.0	33827.0	15228.0	10777.0	12670.0	10988.0	7767.0	6062.0	3901.0	9627.0	12093.0	6884.0	92666.0	43648.0	12408.0	8591.0	12911.0	23613.0	1836.0	8999.0	20990.0	25138.0	40859.0	87880.0	19509.0	19277.0
"Prevotella dentalis"	877.0	587.0	0.0	0.0	1765.0	402.0	226.0	0.0	0.0	28.0	0.0	45.0	0.0	110.0	0.0	66.0	0.0	0.0	219.0	0.0	494.0	0.0	769.0	0.0	796.0	727.0	298.0	411.0	566.0	859.0	754.0	483.0	893.0	1176.0	488.0	858.0	365.0	937.0	1351.0	543.0	614.0	476.0	825.0	1734.0	274.0	748.0	633.0	850.0	909.0	430.0	463.0	823.0	1158.0	599.0	1946.0	714.0	274.0	505.0	1950.0	0.0	1684.0	382.0	302.0	464.0	632.0	493.0	988.0	274.0	1606.0	1136.0	1123.0	1461.0	533.0	214.0	1516.0	831.0	657.0	744.0	499.0	425.0	1019.0	466.0	2671.0	510.0	585.0	811.0	634.0	581.0	0.0	1276.0	1616.0	2795.0	2244.0	631.0	997.0	712.0
