Library_ID	Observed_species	Shannon_index	Pileou_evenness	Site_code	Time_period	Dataset
KT17calc	35	2.47532614666264	0.696226108907513	KIL	Medieval	Full
KT18calc	63	2.78687073580183	0.672647866855409	KIL	Medieval	Full
KT19calc	115	3.62342661408801	0.762250524007556	KIL	Medieval	Full
KT20calc	59	2.89796006958841	0.710713294348701	KIL	Medieval	Full
KT21calc	40	2.77412979143169	0.752025059625603	KIL	Medieval	Full
KT22calc	77	3.70637988242558	0.850729307343185	KIL	Medieval	Full
KT23calc	77	3.10261125711106	0.712145654101138	KIL	Medieval	Full
KT24calc	71	2.90700961797093	0.681967612352972	KIL	Medieval	Full
KT25calc	62	3.06213719849381	0.741952384586661	KIL	Medieval	Full
KT26calc	80	3.5625984285675	0.810704209600316	KIL	Medieval	Full
KT27calc	63	3.02507200203403	0.730140872022455	KIL	Medieval	Full
KT28calc	39	2.67913737419383	0.731293105719728	KIL	Medieval	Full
KT29calc	104	3.55008289470805	0.762809011595446	KIL	Medieval	Full
KT30calc	63	2.76838719006141	0.668186620248417	KIL	Medieval	Full
KT31calc	116	3.85488785260756	0.809480692093049	KIL	Medieval	Full
KT32calc	83	3.65965797906299	0.825955607105751	KIL	Medieval	Full
KT33calc	75	3.20424396896302	0.742154670656066	KIL	Medieval	Full
KT34calc	48	2.86533069866321	0.740165827243164	KIL	Medieval	Full
KT35calc	53	2.88638466388054	0.726995577838548	KIL	Medieval	Full
KT36calc	43	2.6677030766736	0.709269114807968	KIL	Medieval	Full
MID022.A0101	78	2.92516852609271	0.671417035761688	MID	Industrial	Full
MID023.A0101	83	2.90417836765758	0.655449886444352	MID	Industrial	Full
MID024.A0101	54	2.78200189549699	0.697421163640185	MID	Industrial	Full
MID026.A0101	100	3.54488576959461	0.768102535276988	MID	Industrial	Full
MID027.A0101	91	3.30771884673135	0.731506745697959	MID	Industrial	Full
MID028.A0101	95	3.72316479439304	0.815705690760573	MID	Industrial	Full
MID029.A0101	94	3.31814220736266	0.728641174618236	MID	Industrial	Full
MID030.A0101	66	2.81355734545055	0.67154873580101	MID	Industrial	Full
MID031.A0101	70	2.80682310166536	0.66066287985565	MID	Industrial	Full
MID032.A0101	85	2.48832391922534	0.558628179109033	MID	Industrial	Full
MID034.A0101	42	1.07295604977867	0.287065513904747	MID	Industrial	Full
MID035.A0101	97	3.83589410432701	0.836624059422824	MID	Industrial	Full
MID036.A0101	106	3.43093234605193	0.734230263421796	MID	Industrial	Full
MID037.A0101	111	3.59358283021191	0.761594508811564	MID	Industrial	Full
